PRIORITY RANK,NOTE,BASIN,HUC_12,COUNTY,DESCRIPTION,STATION,USE,CAUSE(S)
3,,BROAD,030501060401,FAIRFIELD,MCCLURES CREEK AT SC-215 6.7 MI SE OF CARLISLE,RS-04527,AL,BIO
,,,,,,,,
3,,BROAD,030501060402,NEWBERRY,HELLERS CRK. AT SR 97,B-151,AL,BIO
,,,,,,,,
3,,BROAD,030501060403,FAIRFIELD,MONTICELLO LK-LOWER IMPOUNDMENT BETWEEN LARGE ISLANDS,B-327,AL,PH
3,,BROAD,030501060403,FAIRFIELD,MONTICELLO LAKE 1.7 MI NW OF MONTICELLO,RL-04370,AL,PH
3,,BROAD,030501060403,FAIRFIELD,MONTICELLO LAKE 3.5 MI N OF JENKINSVILLE,RL-04374,AL,PH
3,,BROAD,030501060403,FAIRFIELD,MONTICELLO RESERVOIR APPROX 0.8 MI SW OF LAKE MONTICELLO EAST LANDING,RL-13089,AL,PH
3,,BROAD,030501060403,FAIRFIELD,MONTICELLO RESERVOIR 1.04 MILES SSE OF LAKE MONTICELLO WEST LANDING,RL-15009,AL,PH
,,,,,,,,
3,,BROAD,030501060404,NEWBERRY,CANNON CREEK AT OXNER ROAD,B-831,AL,BIO
,,,,,,,,
3,,BROAD,030501060406,NEWBERRY,"PARR RESERVOIR 4.8 KM N OF DAM,  UPSTREAM MONTICELLO RESERVOIR",B-346,AL,TP
3,,BROAD,030501060406,FAIRFIELD,PARR RESERVOIR APPROX 0.7 MI NNW OF B-346 AND APPROX 0.9 MI SE OF MOUTH OF HELLERS CREEK,RL-12049,AL,TP
3,,BROAD,030501060406,NEWBERRY,PARR RESERVOIR APPROX O.25 MI ENE OF THE END OF MAYER WINDMILL DRIVE,RL-16047,AL,TP
3,,BROAD,030501060406,FAIRFIELD,UNNAMED TRIBUTARY TO ROCKY CREEK AT COOPER HOLMES ROAD,RS-16324,REC,ECOLI
,,,,,,,,
3,,BROAD,030501060504,FAIRFIELD,WINNSBORO BR BELOW PLANT OUTFALL,B-077,AL,CU
3,,BROAD,030501060504,FAIRFIELD,"JACKSON CK AT S-20-54,  5 MI W OF WINNSBORO",B-102,AL,BIO
,,,,,,,,
3,,BROAD,030501060603,RICHLAND,BIG CEDAR CK AT SC 215,B-320,AL,BIO
,,,,,,,,
3,,BROAD,030501060701,NEWBERRY,CRIMS CRK. AT SC 213,B-800,AL,BIO
,,,,,,,,
3,,BROAD,030501060702,RICHLAND,WATEREE CRK. AT SR 698,B-801,AL,BIO
,,,,,,,,
3,,BROAD,030501060703,FAIRFIELD,"BROAD RVR AT SO. RR TRESTLE,  0.5 MI DS OF SC 213",B-236,AL,CU
,,,,,,,,
3,,BROAD,030501060707,RICHLAND,CRANE CREEK AT US 321,B-081,AL,BIO
3,,BROAD,030501060707,RICHLAND,CRANE CK AT S-40-43 UNDER I-20 - N COLA,B-316,AL,DO
,,,,,,,,
3,,BROAD,030501060708,RICHLAND,SMITH BR AT N MAIN ST (US 21) IN COLA,B-280,AL,BIO
,,,,,,,,
3,,BROAD,030501070102,SPARTANBURG,BEAVERDAM CRK. AT SC 357,B-784,AL,BIO
,,,,,,,,
3,,BROAD,030501070201,SPARTANBURG,N TYGER RVR AT US 29 7.2 MI W OF SPARTANBURG,B-219,AL,BIO
,,,,,,,,
3,,BROAD,030501070203,SPARTANBURG,UNNAMED TRIB TO TIMMS CREEKFIRST TRIB ENTERING TIMM CREEK DOWNSTREAM OF MONTGOMERY POND.,B-829,AL,BIO
3,,BROAD,030501070203,SPARTANBURG,TIMM CREEK100 METERS UPSTREAM OF  FELT RD.,B-830,AL,BIO
,,,,,,,,
3,,BROAD,030501070303,SPARTANBURG,SOUTH TYGER RIVER AT 293,B-005A,AL,BIO
,,,,,,,,
3,,BROAD,030501070305,SPARTANBURG,"UNNAMED TRIB TO SOUTH TYGER RIVER ROGERS MILL SUBDIVISION,  DOWNSTREAM OF THE 2ND STORMWATER DISCHARG",B-833,AL,BIO
,,,,,,,,
3,,BROAD,030501070401,SPARTANBURG,TRIB TO FAIRFOREST CK 200 FT BL S-42-65,B-321,AL,"NI, PH"
,,,,,,,,
3,,BROAD,030501070402,SPARTANBURG,FAIRFOREST CK AT SC 56,B-021,AL,BIO
3,,BROAD,030501070402,SPARTANBURG,LAKE JOHNSON AT SPILLWAY AT S-42-359,CL-035,AL,"CHLA, DO, PH, TP"
,,,,,,,,
3,,BROAD,030501070406,UNION,TOSCHS CK AT S-44-75 2 MI SW OF UNION,B-067A,AL,BIO
3,,BROAD,030501070406,UNION,BRIDGE OVER MORRIS BRANCH AT S-44-163 -DEEP WATER ROAD,RS-13114,AL,TURBIDITY
,,,,,,,,
3,,BROAD,030501070505,UNION,TINKER CK AT UN# CO RD 1.7 MI SSE OF UNION,B-287,AL,"PH, TURBIDITY"
,,,,,,,,
3,,BROAD,030501070506,UNION,CANE CRK. AT SR 359,B-777,AL,BIO
,,,,,,,,
3,,BROAD,030501070507,UNION,TYGER RVR AT S-44-35 3.5 MI S OF CARLISLE,B-349,REC,ECOLI
,,,,,,,,
3,,BROAD,030501080101,GREENVILLE,BUCKHORN CRK. AT SR 562,B-795,AL,BIO
3,,BROAD,030501080101,GREENVILLE,"ENOREE R. AT PINE LOG FORD RD.,  2ND CROSSING ABOVE SC 253 BRIDGE",B-797,AL,BIO
3,*,BROAD,030501080101,GREENVILLE,ENOREE RVR AT UNNUM RD W US 25 N TRAVELERS REST,BE-001,AL,ZN
3,,BROAD,030501080101,GREENVILLE,MOUNTAIN CRK. AT SR 279,BE-008,AL,BIO
,,,,,,,,
3,,BROAD,030501080102,GREENVILLE,"PRINCESS CREEK AT SUBER MILL RD,  SECOND RD S OF US 29 OFF S-23-540",B-192,AL,BIO
3,,BROAD,030501080102,GREENVILLE,ROCKY CK AT BRDG IN BATESVILLE 1 MI AB JCT WITH ENOREE,BE-007,AL,BIO
3,,BROAD,030501080102,GREENVILLE,BRUSHY CK AT S-23-164,BE-009,AL,BIO
3,,BROAD,030501080102,GREENVILLE,BRUSHY CK AT HOWELL RD (S-23-273/335) APPROX 5 MI NE OF GREENVILLE (BIO B-798),BE-035,AL,BIO
,,,,,,,,
3,,BROAD,030501080103,GREENVILLE,GILDER CK AT S-23-142 2.75 MI ENE OF MAULDIN,B-241,AL,TURBIDITY
3,,BROAD,030501080103,GREENVILLE,HORSE PEN CRK. AT SR 145,B-793,AL,BIO
3,,BROAD,030501080103,GREENVILLE,GILDER CK AT S-23-143 1/4 MI AB JCT WITH ENOREE RVR,BE-020,AL,BIO
,,,,,,,,
3,,BROAD,030501080104,GREENVILLE,"ENOREE RVR AT SC 296,  7.5 MI NE OF MAULDIN",BE-017,AL,BIO
,,,,,,,,
3,,BROAD,030501080105,LAURENS,DURBIN CREEK AT SC 418,B-097,AL,TURBIDITY
,,,,,,,,
3,,BROAD,030501080106,LAURENS,ENOREE RVR AT S-30-75,BE-018,AL,TURBIDITY
3,,BROAD,030501080106,LAURENS,ENOREE RIVER AT SC HWY 418,BE-019,AL,BIO
,,,,,,,,
3,,BROAD,030501080201,LAURENS,"BEAVERDAM CK AT S-30-97,  7 MI NE OF GRAY COURT",B-246,AL,BIO
3,,BROAD,030501080201,LAURENS,BEAVERDAM CREEK AT S-30-399 10 MI N OF LAURENS,RS-05566,AL,BIO
,,,,,,,,
3,,BROAD,030501080202,LAURENS,"WARRIOR CK AT US 221,  8 MI NNE OF LAURENS",B-150,AL,"DO, PH"
,,,,,,,,
3,,CATAWBA,030402010406,YORK,TOOLS FORK CREEKUPSTREAM OF RETENTION POND IN HAWKINS RIDGE OFF S-46-195,CW-545,REC,ECOLI
,,,,,,,,
3,,CATAWBA,030501011502,YORK,LAKE WYLIE AB MILL CK ARM AT END OF S-46-557,CW-197,FISH,PCB
,,,,,,,,
3,,CATAWBA,030501011503,YORK,BEAVERDAM CREEK AT BRIDGE ON S-46-64 3.2 MI ENE OF CLOVER,RS-06020,AL,BIO
,,,,,,,,
3,,CATAWBA,030501011505,YORK,BRIDGE OVER CROWDERS CREEK AT S-46-152 -RIDDLE MILL ROAD,RS-13136,REC,ECOLI
,,,,,,,,
3,,CATAWBA,030501011506,YORK,LK WYLIE N LAKEWOODS S/D AT EBENEZER ACCESS,CW-201,FISH,PCB
,,,,,,,,
3,,CATAWBA,030501011507,YORK,LITTLE ALLISON CREEK AT S-46-815; HARPER ROAD,RS-15232,REC,ECOLI
,,,,,,,,
3,,CATAWBA,030501011508,YORK,TORRENCE BRANCH ARM OF LAKE WYLIE EVEN WITH CUL-DE-SAC AT END OF WTER TRACE DR,RL-13088,REC,ECOLI
,,,,,,,,
3,,CATAWBA,030501030103,YORK,SUGAR CK US OF CONFLUENCE W/ MCALPINE CK,CW-246,AL,BIO
,,,,,,,,
3,,CATAWBA,030501030107,LANCASTER,MCALPINE CK AT S-29-64,CW-064,AL,BIO
2,,CATAWBA,030501030107,LANCASTER,MCALPINE CK AT S-29-64,CW-064,REC,ECOLI
,,,,,,,,
3,,CATAWBA,030501030108,YORK,STEEL CR. AT US BY-PASS 21,CW-681,AL,PH
,,,,,,,,
3,,CATAWBA,030501030109,LANCASTER,SUGAR CK AT SC 160 E OF FORT MILL,CW-013,AL,BIO
2,,CATAWBA,030501030109,LANCASTER,SUGAR CREEK AT S-46-36,CW-036,REC,ECOLI
,,,,,,,,
3,,CATAWBA,030501030302,LANCASTER,CANE CK AT SC 200 5 MI NNE OF LANCASTER,CW-185,AL,DO
,,,,,,,,
3,,CATAWBA,030501030304,LANCASTER,HANNAHS CREEK AT S-29-376 3.4 MI E OF LANCASTER,RS-05403,AL,DO
3,*,CATAWBA,030501030304,LANCASTER,GILLS CK AT S-29-36 4.5 MI ENE OF LANCASTER,RS-07043,AL,DO
,,,,,,,,
3,,CATAWBA,030501030305,LANCASTER,CANE CK AT S-29-50,CW-017,AL,DO
3,,CATAWBA,030501030305,LANCASTER,CANE CR. AT SC 9 BYPASS,CW-210,AL,PH
3,,CATAWBA,030501030305,LANCASTER,RUM CK AT S-29-187,CW-232,AL,DO
,,,,,,,,
3,,CATAWBA,030501030401,YORK,WILDCAT CK AT S-46-650,CW-006,AL,DO
3,,CATAWBA,030501030401,YORK,TOOLS FORK AT S-46-195 7 MI NW OF ROCK HILL,CW-212,AL,TURBIDITY
,,,,,,,,
3,,CATAWBA,030501030402,YORK,FISHING CK AT S-46-347 DS YORK WWTP,CW-005,AL,BIO
,,,,,,,,
3,,CATAWBA,030501030403,YORK,STONEY FORK CRK. AT SC 121 & 72,CW-697,AL,BIO
,,,,,,,,
3,,CATAWBA,030501030404,CHESTER,"LAKE OLIPHANT,  FOREBAY EQUIDISTANT FROM DAM AND SHORELINES",CL-021,AL,"PH, TP"
3,*,CATAWBA,030501030404,YORK,CONRAD CREEK AT S-46-1273 HAWLEY ROAD,RS-15284,AL,"DO, PH"
,,,,,,,,
3,,CATAWBA,030501030406,CHESTER,SOUTH FORK OF FISHING CRK. AT SR 50,CW-007,AL,BIO
,,,,,,,,
3,,CATAWBA,030501030407,YORK,FISHING CR. AT SR 655,CW-654,AL,BIO
3,,CATAWBA,030501030407,YORK,TAYLORS CRK. AT SR 735,CW-695,AL,BIO
,,,,,,,,
3,,CATAWBA,030501030410,CHESTER,DAIRY BRANCH AT DEER BRANCH RD OFF US 21,RS-13152,REC,ECOLI
,,,,,,,,
3,*,CATAWBA,030501030503,CHESTER,BEAVER DAM CRK. AT SR 555,CW-691,AL,BIO
3,,CATAWBA,030501030503,CHESTER,BEAVERDAM CREEK AT BRIDGE ON S-12-198 3.5 MI NW OF GREAT FALLS,RS-06171,AL,BIO
,,,,,,,,
2,,CATAWBA,030501030505,CHESTER,CEDAR CK RESERVOIR/ROCKY CK AT S-12-141 SE OF GREAT FALLS,CW-175,AL,"DO, TN, TP"
,,,,,,,,
3,,CATAWBA,030501030602,YORK,CATAWBA RVR AT US 21,CW-014,REC,ECOLI
,,,,,,,,
3,,CATAWBA,030501030604,LANCASTER,CATAWBA RVR AT SC 5 AB BOWATER,CW-041,REC,ECOLI
3,,CATAWBA,030501030604,CHESTER,GREENE CREEK AT S-12-465 8.2 MI N OF FORT LAWN,RS-03511,AL,BIO
3,,CATAWBA,030501030604,CHESTER,GREENE CREEK AT S-12-465 8.2 MI N OF FORT LAWN,RS-03511,REC,ECOLI
3,,CATAWBA,030501030604,YORK,SIXMILE CREEK AT BRIDGE ON S-46-691 2.6 MI NE OF RODDEY,RS-06176,AL,BIO
,,,,,,,,
3,,CATAWBA,030501030606,CHESTER,CATAWBA RVR AT SC 9 AT FT LAWN,CW-016,FISH,PCB
2,,CATAWBA,030501030606,CHESTER,FISHING CK RES 2 MI BL CANE CREEK,CW-016F,AL,"TN, TP"
2,,CATAWBA,030501030606,LANCASTER,CEDAR CK RESERVOIR 100 M N OF DAM,CW-033,AL,"PH, TP"
3,,CATAWBA,030501030606,LANCASTER,CEDAR CK RESERVOIR 100 M N OF DAM,CW-033,FISH,PCB
2,,CATAWBA,030501030606,CHESTER,FISHING CK RES 75 FT AB DAM NR GREAT FALLS,CW-057,AL,"PH, TN, TP"
3,,CATAWBA,030501030606,CHESTER,FISHING CK RES 75 FT AB DAM NR GREAT FALLS,CW-057,FISH,PCB
3,,CATAWBA,030501030606,CHESTER,FISHING CREEK RES. NEAR CANE CR. LANDING,CW-133,FISH,PCB
2,,CATAWBA,030501030606,CHESTER,CEDAR CK RESERVOIR AT UNIMP RD AB JCT WITH ROCKY CK,CW-174,AL,"PH, TN, TP"
2,,CATAWBA,030501030606,LANCASTER,CEDAR CK RES 2.15 M SE OF GREAT FALLS,RL-01007,AL,TP
2,,CATAWBA,030501030606,CHESTER,CEDAR CK RES FROM W OF BIG ISL 7 MI BELOW ROCKY CK CONFL,RL-02319,AL,TP
2,,CATAWBA,030501030606,LANCASTER,CEDAR CK RES 0.15 MI SE OF S TIP PICKETT ISLAND,RL-02452,AL,TP
"2, 2, 3",,CATAWBA,030501030606,CHESTER,GREAT FALLS RESERVOIR 0.9 MI NE OF GREAT FALLS,RL-03332,AL,"TN, TP, TURBIDITY"
"3, 2, 3",,CATAWBA,030501030606,CHESTER,CEDAR CREEK RESERVOIR 0.3 MI NE OF DAM AND W OF BIG ISLAND,RL-03351,AL,"CU, TP, TURBIDITY"
"2, 3",,CATAWBA,030501030606,CHESTER,CEDAR CREEK RESERVOIR 1.9 MI SE OF GREAT FALLS AND E OF BIG ISLAND,RL-03353,AL,"TP, TURBIDITY"
"2, 3",,CATAWBA,030501030606,CHESTER,GREAT FALLS RSVR 1 MI NE OF GREAT FALLS,RL-03458,AL,"TP, TURBIDITY"
2,,CATAWBA,030501030606,LANCASTER,CEDAR CREEK RESERVOIR 2.2 MI SE OF GREAT FALLS SE OF BOWDEN ISLAND,RL-04375,AL,TP
2,,CATAWBA,030501030606,CHESTER,CEDAR CREEK RESERVOIR 1.25 MI ESE OF GREAT FALLS NW OF HILL ISLAND,RL-04379,AL,TP
2,,CATAWBA,030501030606,CHESTER,CEDAR CREEK RESERVOIR 0.42 MI NNW OF S-29-405 ON LANCASTER CHESTER COUNTY LINE,RL-05391,AL,TP
2,,CATAWBA,030501030606,CHESTER,GREAT FALLS RESERVOIR 1 MI EAST OF JUNCTION OF SC 99 AND US 21,RL-05414,AL,TP
2,,CATAWBA,030501030606,FAIRFIELD,CEDAR CREEK RESERVOIR DEBUTARY CREEK BRANCH 0.4 MI E OF DEBUTARY CREEK AND S-20-268,RL-05416,AL,TP
2,,CATAWBA,030501030606,CHESTER,GREAT FALLS RESERVOIR 1.2 MI SE OF GREAT FALLS W OF BIG ISLAND,RL-06429,AL,TP
2,,CATAWBA,030501030606,CHESTER,CEDAR CREEK RESEVOIR 1.6 MI SE OF GREAT FALLS E OF BIG ISLAND,RL-06431,AL,TP
2,,CATAWBA,030501030606,CHESTER,CEDAR CREEK RESEVOIR 2.3 MI SE OF GREAT FALLS S OF PICKET ISLAND,RL-06443,AL,PH
2,,CATAWBA,030501030606,CHESTER,CEDAR CREEK RESERVOIR 0.27 MI SE OF S-12-141BELOW TAILRACE FROM GREAT FALLS DAM,RL-08046,AL,"TN, TP"
2,,CATAWBA,030501030606,CHESTER,GREAT FALLS RESERVOIR 0.9 MI E OF NITROLEE W SIDE OF CUT BTWN 2 ISLANDS,RL-08062,AL,"TN, TP"
2,,CATAWBA,030501030606,FAIRFIELD,CEDAR CREEK RESERVOIR 0.15 MILES SOUTHWEST OF THE DEBUTARY BOAT LANDING,RL-09094,AL,TP
2,,CATAWBA,030501030606,LANCASTER,"LAKE,  CEDAR CK RESERVOIR 2.60MI SSE OF JCT OF US 21 AND SC-97 ON EAST SIDE OF GREAT FALL RESERVOIR",RL-10102,AL,TP
2,,CATAWBA,030501030606,CHESTER,GREAT FALL RESERVOIR 155M SE OF JCT OF US 21 AND SC-97 ON WEST SIDE OF GREAT FALL RESERVOIR,RL-10106,AL,"TN, TP"
2,,CATAWBA,030501030606,CHESTER,GREAT FALLS RESERVOIR 40 YARDS FROM DAM AND 70 YARDS WEST OF SHORE OF POINT,RL-11117,AL,"DO, TN, TP"
2,,CATAWBA,030501030606,CHESTER,GREAT FALLS RESERVOIR 1.0 MILES SOUTH OF SC 97 IN THE MIDDLE OF THE RESERVOIR.,RL-11119,AL,"TN, TP"
2,,CATAWBA,030501030606,CHESTER,FISHING CREEK RESERVOIR APPROX MID-LAKE APPROX 1 MI N OF CANE CREEK LANDING,RL-13072,AL,"TN, TP"
2,,CATAWBA,030501030606,CHESTER,GREAT FALLS RESERVOIR NEAR BIG ISLAND SHORELINE ACROSS FROM END OF RIVER ST,RL-13134,AL,"PH, TP"
2,,CATAWBA,030501030606,LANCASTER,FISHING CREEK RESERVOIR 0.2 MILES NNW OF CANE CREEK LANDING,RL-15023,AL,"PH, TN, TP"
2,,CATAWBA,030501030606,CHESTER,CEDAR CREEK RESERVOIR 1.7 MILES NORTH OF GOAT ISLAND,RL-15104,AL,PH
2,,CATAWBA,030501030606,LANCASTER,CEDAR CREEK RESERVOIR 0.39 MILES SW OF STUMPY POND LANDING,RL-16115,AL,TN
3,,CATAWBA,030501030606,LANCASTER,CATAWBA RIVER AT END OF LANSFORD RD OFF S-29-660,RS-12088,REC,ECOLI
,,,,,,,,
3,,CATAWBA,030501040101,LANCASTER,BRIDGE AT SC HWY 97 OVER CEDAR CREEK -CEDAR CREEK ROAD,RS-13144,REC,ECOLI
,,,,,,,,
3,,CATAWBA,030501040102,FAIRFIELD,LITTLE WATEREE CK AT S-20-41 5 MI E OF WINNSBORO,CW-040,AL,ZN
3,,CATAWBA,030501040102,FAIRFIELD,UNNAMED TRIB TO HORSE CREEK GRAVEL ROAD S-20-21; OLD CAMDEN ROAD; AKA OLD 21; AKA HORSE CREEK ROAD. ,RS-16296,REC,ECOLI
,,,,,,,,
3,,CATAWBA,030501040105,FAIRFIELD,BIG WATEREE CK AT US 21,CW-072,AL,DO
,,,,,,,,
3,,CATAWBA,030501040106,LANCASTER,CEDAR CREEK RESERVOIR TAILRACE,CW-034,FISH,PCB
2,,CATAWBA,030501040106,LANCASTER,LK WATEREE HEADWATERS APPROX 50 YDS DS CONFL CEDAR CK,CW-231,AL,"DO, TN, TP"
3,,CATAWBA,030501040106,LANCASTER,LK WATEREE HEADWATERS APPROX 50 YDS DS CONFL CEDAR CK,CW-231,REC,ECOLI
2,,CATAWBA,030501040106,FAIRFIELD,WATEREE LAKE ABOUT 1 MILE BELOW THE CONFLUENCE WITH THE CROOKED CREEK AND 1.3 MI ABOVE THE BIG WATER,RL-11040,AL,"PH, TN, TP"
2,,CATAWBA,030501040106,LANCASTER,LAKE WATEREE 2.1 MILES NNE OF WATEREE CREEK BOAT RAMP,RL-15007,AL,TN
,,,,,,,,
2,,CATAWBA,030501040108,FAIRFIELD,LK WATEREE AT S-20-101 11 MI ENE WINNSBORO,CW-208,AL,PH
2,,CATAWBA,030501040108,FAIRFIELD,DUTCHMANS CREEK ARM OF LAKE WATEREE 0.4 MI E OF S-20-101 BRIDGE,RL-08035,AL,"PH, TP"
2,,CATAWBA,030501040108,FAIRFIELD,"LAKE WATEREE,  DUTCHMANS CREEK COVE NEAR MOUTH OF CUT BEHIND LAKE WATEREE STATE PARK ISLAND APPROX 0.",RL-12056,AL,"CHLA, PH"
,,,,,,,,
3,,CATAWBA,030501040109,LANCASTER,TRANHAM CREEK AT S-29-763 6.5 MI WSW OF KERSHAW (THE BRIDGE HAS A SIGN LABLING THE CK AS BEAVER CK),RS-07059,REC,ECOLI
,,,,,,,,
2,,CATAWBA,030501040111,KERSHAW,LK WATEREE IN FOREBAY EQUIDISTANT FROM DAM AND SHORELINES,CL-089,AL,"DO, PH"
2,,CATAWBA,030501040111,FAIRFIELD,LK WATEREE AT END OF S-20-291,CW-207,AL,PH
3,,CATAWBA,030501040111,FAIRFIELD,LK WATEREE AT END OF S-20-291,CW-207,FISH,PCB
2,,CATAWBA,030501040111,KERSHAW,LK WATEREE AT SMALL ISLAND 2.3 MI N OF DAM,CW-209,AL,PH
3,,CATAWBA,030501040111,KERSHAW,LK WATEREE AT SMALL ISLAND 2.3 MI N OF DAM,CW-209,FISH,PCB
2,,CATAWBA,030501040111,KERSHAW,LAKE WATEREE 1.0 MI SW FROM MOUTH OF BEAVER CK,RL-02314,AL,"PH, TP"
2,,CATAWBA,030501040111,KERSHAW,LAKE WATEREE NEARSHORE ALONG S-28-802 OPP COLONEL CK CONFL,RL-03336,AL,"PH, TP"
2,,CATAWBA,030501040111,KERSHAW,WATEREE LAKE 1.9 MILES WEST OF THE CLEARWATER COVE BOAT LANDING AND 1.9 MILES NORTHEAST OF THE COLON,RL-09099,AL,"PH, TP"
2,,CATAWBA,030501040111,KERSHAW,LAKE WATEREE 4.3MI NW OF WEST END OF WATEREE DAM,RL-10008,AL,PH
2,,CATAWBA,030501040111,KERSHAW,LAKE WATEREE APPROX 0.15 MI SW OF END OF LITTLE GULL RD,RL-13084,AL,PH
2,,CATAWBA,030501040111,KERSHAW,LAKE WATEREE APPROX 1.7 MI NE OFF COLONEL CREEK LANDING,RL-14155,AL,PH
2,,CATAWBA,030501040111,FAIRFIELD,FOX CREEK COVE OF LAKE WATEREE APPROX 300 YDS NE OF JUNE CREEK BOAT RAMP. PERFECT DOCK IF PERMISSION,RL-16039,AL,PH
,,,,,,,,
3,,CATAWBA,030501040202,KERSHAW,UNNAMED TRIB TO GRANNIES QUARTER CREEK AT FIRST DIP IN S-28-499; CATOE ROAD AFTER LEAVING US 521,RS-16336,AL,PH
,,,,,,,,
3,,CATAWBA,030501040205,RICHLAND,TWENTYFIVE MILE CREEK AT S-40-60 -GROVER WILSON ROAD,RS-13160,AL,BIO
,,,,,,,,
3,,CATAWBA,030501040207,KERSHAW,TWENTYFIVE MILE CK AT S-28-05 3.7 MI W OF CAMDEN,CW-080,AL,BIO
,,,,,,,,
3,,CATAWBA,030501040208,KERSHAW,WATEREE RIVER BELOW LAKE WATEREE DAM,CW-039,FISH,"HG, PCB"
,,,,,,,,
3,,CATAWBA,030501040302,KERSHAW,"BIG PINE TREE CK AT US 521,  NW BRIDGE",CW-021,REC,ECOLI
3,,CATAWBA,030501040302,KERSHAW,LITTLE PINE TREE CREEK AT S-28-132,CW-223,REC,ECOLI
,,,,,,,,
3,,CATAWBA,030501040304,KERSHAW,WATEREE RVR AT US 1,CW-019,AL,DO
3,,CATAWBA,030501040304,KERSHAW,WATEREE RVR AT US 1,CW-019,REC,ECOLI
3,,CATAWBA,030501040304,KERSHAW,WATEREE RIVER @ I-20,CW-214,AL,DO
3,,CATAWBA,030501040304,KERSHAW,WATEREE RIVER @ I-20,CW-214,FISH,"HG, PCB"
,,,,,,,,
3,,CATAWBA,030501040305,KERSHAW,SWIFT CK AT S-28-12,CW-082,REC,ECOLI
3,,CATAWBA,030501040305,KERSHAW,SWIFT CK AT SC 261,CW-238,AL,"CU, DO"
,,,,,,,,
3,,CATAWBA,030501040306,SUMTER,RAFTING CREEK AT US 521; SOUTHERN BRIDGE FARTHEST FROM REMBERT,RS-14220,REC,ECOLI
,,,,,,,,
3,,CATAWBA,030501040404,RICHLAND,COLONELS CK AT SC 262,CW-250,AL,CU
,,,,,,,,
